,1,2,4,8,16,32,64,128,256
Global Lock,42.8597,52.8673,71.403,147.276,243.7237,447.1051,874.0228,1942.5035,4072.5589
Per-Type Lock,41.9151,50.548,68.5352,140.2087,232.5499,433.8194,864.0422,1878.1027,3975.2698
Per-Object Lock,46.3495,49.7305,63.3741,106.8059,215.3178,416.2268,817.6234,1766.6648,3879.4054
Mutex Pool + Global,50.5425,53.6662,68.0403,117.2914,210.3059,395.2839,833.3357,1815.5062,3805.5593
,,,,,,,,,
Improvement to Global Lock,,,,,,,,,
Global Lock,0,0,0,0,0,0,0,0,0
Per-Type Lock,2.20%,4.39%,4.02%,4.80%,4.58%,2.97%,1.14%,3.32%,2.39%
Per-Object Lock,-8.14%,5.93%,11.24%,27.48%,11.65%,6.91%,6.45%,9.05%,4.74%
Mutex Pool + Global,-17.93%,-1.51%,4.71%,20.36%,13.71%,11.59%,4.66%,6.54%,6.56%
