OP-TEE,,,,,,,,,,
InitializeContext,307,449,442,343,292,427,415,295,311,470
AllocateSharedMemory,1239,1377,1631,1232,1961,1728,1288,1427,1922,1485
RegisterSharedMemory,1255,991,1088,974,999,982,970,985,1128,1131
OpenSession,137995,133342,135198,156860,174371,134803,139532,161810,146829,143439
InvokeCommand,1368,1159,1020,1834,1322,1268,1221,1001,1160,1057
CloseSession,2511,2065,2202,2644,2170,2193,2096,2484,2180,2799
ReleaseSharedMemory Allocated,380,340,348,458,345,521,386,357,421,397
ReleaseSharedMemory Registered,297,287,285,309,310,339,281,304,358,410
FinalizeContext,22,23,24,26,23,23,24,23,32,27
,,,,,,,,,,
Freesia,,,,,,,,,,
InitializeContext,345,446,493,392,413,282,298,318,482,479
AllocateSharedMemory,1593,1727,1692,1453,1636,1458,1682,1427,1474,1504
RegisterSharedMemory,1079,1112,1251,1075,1033,992,1068,1054,1042,1148
OpenSession,157502,164427,133594,149765,131284,129956,153664,173804,148404,143225
InvokeCommand,1475,1364,1449,1196,1189,1191,1255,1211,1153,1263
CloseSession,2073,3557,2636,2130,1996,2143,2481,2375,2290,2170
ReleaseSharedMemory Allocated,493,569,515,345,373,367,403,377,339,324
ReleaseSharedMemory Registered,528,493,290,255,267,253,317,347,306,265
FinalizeContext,27,33,25,24,26,24,24,25,27,30
